Bus Stop Start,Bus Stop End,Estimated Fare,Estimated Time
Nehru Place,Hauz Khas,10.35,19
India Gate,Connaught Place,26.07,119
Karol Bagh,Rajiv Chowk,65.16,115
Karol Bagh,Connaught Place,17.32,80
Connaught Place,Karol Bagh,89.37,173
Karol Bagh,Gurgaon,74.77,176
Red Fort,Chandni Chowk,96.98,75
Hauz Khas,Rajiv Chowk,55.69,43
Connaught Place,Red Fort,37.04,111
Karol Bagh,Hauz Khas,59.46,107
Chandni Chowk,Nehru Place,93.77,171
Chandni Chowk,Karol Bagh,56.87,141
Nehru Place,Gurgaon,34.05,96
India Gate,Red Fort,88.97,111
Karol Bagh,Chandni Chowk,43.47,132
Rajiv Chowk,Delhi University,10.12,171
Connaught Place,Chandni Chowk,32.29,13
Gurgaon,Delhi University,38.64,87
Red Fort,Connaught Place,87.29,172
Karol Bagh,Red Fort,51.27,89
Hauz Khas,Delhi University,50.01,40
Gurgaon,Chandni Chowk,40.25,179
Gurgaon,Nehru Place,89.26,166
Nehru Place,Chandni Chowk,95.05,147
Red Fort,Karol Bagh,99.27,21
Gurgaon,Karol Bagh,43.91,163
Rajiv Chowk,India Gate,96.95,67
Red Fort,Rajiv Chowk,81.27,83
Delhi University,Connaught Place,70.81,72
Hauz Khas,Connaught Place,32.04,106
Delhi University,Karol Bagh,29.48,159
Nehru Place,Red Fort,24.94,173
Chandni Chowk,Delhi University,93.05,131
Connaught Place,Delhi University,36.47,106
Nehru Place,Rajiv Chowk,50.78,102
Delhi University,India Gate,54.46,110
Red Fort,Delhi University,80.04,84
Gurgaon,Red Fort,85.98,109
Connaught Place,India Gate,22.52,39
Gurgaon,Hauz Khas,48.42,51
Nehru Place,Delhi University,85.86,175
Nehru Place,Connaught Place,83.62,167
Hauz Khas,Red Fort,19.22,107
Delhi University,Gurgaon,24.07,45
India Gate,Karol Bagh,37.38,94
Connaught Place,Hauz Khas,16.78,43
Hauz Khas,Gurgaon,48.22,141
Delhi University,Chandni Chowk,19.69,105
Nehru Place,Karol Bagh,61.14,110
Karol Bagh,Delhi University,32.19,98
Hauz Khas,India Gate,63.68,35
Delhi University,Rajiv Chowk,20.58,99
Rajiv Chowk,Chandni Chowk,97.83,47
Gurgaon,Rajiv Chowk,93.93,137
India Gate,Rajiv Chowk,45.26,87
Red Fort,Gurgaon,31.8,106
Karol Bagh,Nehru Place,32.54,116
Nehru Place,India Gate,53.51,15
India Gate,Gurgaon,13.6,31
Connaught Place,Rajiv Chowk,67.57,178
Red Fort,Nehru Place,46.75,151
Chandni Chowk,Red Fort,43.97,37
Rajiv Chowk,Hauz Khas,82.84,44
Delhi University,Nehru Place,73.81,138
Red Fort,Hauz Khas,95.89,65
India Gate,Nehru Place,41.67,54
Chandni Chowk,Rajiv Chowk,90.78,121
Hauz Khas,Karol Bagh,79.3,61
Rajiv Chowk,Gurgaon,42.17,69
Chandni Chowk,India Gate,65.95,27
Rajiv Chowk,Connaught Place,35.97,106
Rajiv Chowk,Nehru Place,88.7,21
Gurgaon,Connaught Place,20.12,43
India Gate,Delhi University,29.12,61
Chandni Chowk,Gurgaon,26.47,79
Rajiv Chowk,Karol Bagh,46.27,91
Karol Bagh,India Gate,77.07,20
Red Fort,India Gate,57.42,51
Hauz Khas,Chandni Chowk,53.89,169
Hauz Khas,Nehru Place,10.05,13
Rajiv Chowk,Red Fort,48.29,104
Chandni Chowk,Hauz Khas,15.72,144
Chandni Chowk,Connaught Place,28.74,74
India Gate,Hauz Khas,93.92,14
Connaught Place,Nehru Place,29.39,142
Connaught Place,Gurgaon,87.25,73
Delhi University,Hauz Khas,82.26,96
Delhi University,Red Fort,24.32,167
India Gate,Chandni Chowk,64.51,32
Gurgaon,India Gate,20.41,97
Nehru Place,Hauz Khas,75.51,59
India Gate,Connaught Place,67.37,36
Karol Bagh,Rajiv Chowk,83.07,128
Karol Bagh,Connaught Place,53.14,66
Connaught Place,Karol Bagh,92.34,149
Karol Bagh,Gurgaon,14.44,140
Red Fort,Chandni Chowk,36.36,22
Hauz Khas,Rajiv Chowk,74.35,12
Connaught Place,Red Fort,47.63,101
Karol Bagh,Hauz Khas,25.57,127
Chandni Chowk,Nehru Place,19.65,131
Chandni Chowk,Karol Bagh,83.56,131
Nehru Place,Gurgaon,52.58,45
India Gate,Red Fort,89.41,138
Karol Bagh,Chandni Chowk,76.0,71
Rajiv Chowk,Delhi University,46.88,87
Connaught Place,Chandni Chowk,43.62,111
Gurgaon,Delhi University,56.41,156
Red Fort,Connaught Place,90.02,173
Karol Bagh,Red Fort,76.36,20
Hauz Khas,Delhi University,10.46,29
Gurgaon,Chandni Chowk,72.47,165
Gurgaon,Nehru Place,92.76,19
Nehru Place,Chandni Chowk,73.94,122
Red Fort,Karol Bagh,25.93,176
Gurgaon,Karol Bagh,53.52,132
Rajiv Chowk,India Gate,22.63,22
Red Fort,Rajiv Chowk,42.31,112
Delhi University,Connaught Place,94.34,79
Hauz Khas,Connaught Place,93.1,96
Delhi University,Karol Bagh,35.46,72
Nehru Place,Red Fort,40.57,22
Chandni Chowk,Delhi University,64.02,76
Connaught Place,Delhi University,96.69,69
Nehru Place,Rajiv Chowk,23.3,138
Delhi University,India Gate,33.12,34
Red Fort,Delhi University,88.62,116
Gurgaon,Red Fort,54.27,142
Connaught Place,India Gate,90.91,156
Gurgaon,Hauz Khas,26.7,55
Nehru Place,Delhi University,57.94,82
Nehru Place,Connaught Place,39.36,154
Hauz Khas,Red Fort,38.49,96
Delhi University,Gurgaon,50.22,116
India Gate,Karol Bagh,48.98,89
Connaught Place,Hauz Khas,42.16,137
Hauz Khas,Gurgaon,92.35,30
Delhi University,Chandni Chowk,75.86,58
Nehru Place,Karol Bagh,75.48,97
Karol Bagh,Delhi University,36.09,76
Hauz Khas,India Gate,61.99,58
Delhi University,Rajiv Chowk,80.13,149
Rajiv Chowk,Chandni Chowk,81.6,162
Gurgaon,Rajiv Chowk,41.01,153
India Gate,Rajiv Chowk,79.38,121
Red Fort,Gurgaon,76.23,163
Karol Bagh,Nehru Place,22.74,137
Nehru Place,India Gate,87.94,143
India Gate,Gurgaon,49.72,32
Connaught Place,Rajiv Chowk,53.78,64
Red Fort,Nehru Place,50.35,61
Chandni Chowk,Red Fort,61.11,172
Rajiv Chowk,Hauz Khas,65.91,167
Delhi University,Nehru Place,54.84,150
Red Fort,Hauz Khas,88.01,54
India Gate,Nehru Place,66.5,68
Chandni Chowk,Rajiv Chowk,46.13,134
Hauz Khas,Karol Bagh,47.5,30
Rajiv Chowk,Gurgaon,82.98,73
Chandni Chowk,India Gate,41.34,107
Rajiv Chowk,Connaught Place,29.03,85
Rajiv Chowk,Nehru Place,15.34,56
Gurgaon,Connaught Place,88.84,104
India Gate,Delhi University,92.67,120
Chandni Chowk,Gurgaon,20.81,21
Rajiv Chowk,Karol Bagh,40.1,105
Karol Bagh,India Gate,25.78,44
Red Fort,India Gate,20.43,51
Hauz Khas,Chandni Chowk,90.99,159
Hauz Khas,Nehru Place,15.12,101
Rajiv Chowk,Red Fort,98.24,91
Chandni Chowk,Hauz Khas,18.68,67
Chandni Chowk,Connaught Place,87.71,144
India Gate,Hauz Khas,60.99,149
Connaught Place,Nehru Place,43.11,122
Connaught Place,Gurgaon,40.81,120
Delhi University,Hauz Khas,78.16,157
Delhi University,Red Fort,38.31,17
India Gate,Chandni Chowk,69.16,67
Gurgaon,India Gate,56.56,154
Nehru Place,Hauz Khas,53.65,80
India Gate,Connaught Place,91.1,178
Karol Bagh,Rajiv Chowk,59.92,20
Karol Bagh,Connaught Place,84.42,51
Connaught Place,Karol Bagh,75.3,178
Karol Bagh,Gurgaon,13.47,167
Red Fort,Chandni Chowk,79.58,84
Hauz Khas,Rajiv Chowk,29.52,84
Connaught Place,Red Fort,91.28,169
Karol Bagh,Hauz Khas,13.86,91
Chandni Chowk,Nehru Place,39.98,109
Chandni Chowk,Karol Bagh,18.98,174
Nehru Place,Gurgaon,52.8,71
India Gate,Red Fort,83.8,91
Karol Bagh,Chandni Chowk,36.84,123
Rajiv Chowk,Delhi University,23.58,165
Connaught Place,Chandni Chowk,39.72,35
Gurgaon,Delhi University,83.25,121
Red Fort,Connaught Place,22.63,149
Karol Bagh,Red Fort,30.46,102
Hauz Khas,Delhi University,16.2,26
Gurgaon,Chandni Chowk,73.51,171
Gurgaon,Nehru Place,45.57,133
Nehru Place,Chandni Chowk,37.98,152
Red Fort,Karol Bagh,74.68,178
Gurgaon,Karol Bagh,40.24,75
Rajiv Chowk,India Gate,75.5,32
Red Fort,Rajiv Chowk,83.37,178
Delhi University,Connaught Place,29.59,169
Hauz Khas,Connaught Place,97.64,70
Delhi University,Karol Bagh,24.61,136
Nehru Place,Red Fort,36.18,38
Chandni Chowk,Delhi University,26.18,134
Connaught Place,Delhi University,41.1,93
Nehru Place,Rajiv Chowk,53.21,106
Delhi University,India Gate,57.0,116
Red Fort,Delhi University,86.82,53
Gurgaon,Red Fort,90.05,78
Connaught Place,India Gate,29.81,103
Gurgaon,Hauz Khas,66.06,36
Nehru Place,Delhi University,20.03,94
Nehru Place,Connaught Place,51.31,57
Hauz Khas,Red Fort,39.01,67
Delhi University,Gurgaon,38.49,51
India Gate,Karol Bagh,53.43,166
Connaught Place,Hauz Khas,75.68,170
Hauz Khas,Gurgaon,16.23,150
Delhi University,Chandni Chowk,89.13,98
Nehru Place,Karol Bagh,76.13,120
Karol Bagh,Delhi University,25.88,49
Hauz Khas,India Gate,94.52,55
Delhi University,Rajiv Chowk,55.57,171
Rajiv Chowk,Chandni Chowk,99.98,104
Gurgaon,Rajiv Chowk,27.75,70
India Gate,Rajiv Chowk,58.14,172
Red Fort,Gurgaon,36.12,167
Karol Bagh,Nehru Place,37.38,130
Nehru Place,India Gate,63.2,177
India Gate,Gurgaon,92.95,73
Connaught Place,Rajiv Chowk,82.47,160
Red Fort,Nehru Place,75.15,63
Chandni Chowk,Red Fort,60.33,36
Rajiv Chowk,Hauz Khas,93.01,78
Delhi University,Nehru Place,54.31,53
Red Fort,Hauz Khas,88.64,147
India Gate,Nehru Place,85.06,80
Chandni Chowk,Rajiv Chowk,29.25,167
Hauz Khas,Karol Bagh,79.41,15
Rajiv Chowk,Gurgaon,11.1,11
Chandni Chowk,India Gate,39.05,134
Rajiv Chowk,Connaught Place,30.66,96
Rajiv Chowk,Nehru Place,55.62,36
Gurgaon,Connaught Place,76.32,103
India Gate,Delhi University,18.79,143
Chandni Chowk,Gurgaon,56.34,154
Rajiv Chowk,Karol Bagh,94.46,164
Karol Bagh,India Gate,30.58,54
Red Fort,India Gate,70.94,36
Hauz Khas,Chandni Chowk,63.36,88
Hauz Khas,Nehru Place,10.91,98
Rajiv Chowk,Red Fort,52.82,146
Chandni Chowk,Hauz Khas,73.79,29
Chandni Chowk,Connaught Place,13.96,129
India Gate,Hauz Khas,89.16,69
Connaught Place,Nehru Place,56.81,85
Connaught Place,Gurgaon,12.76,31
Delhi University,Hauz Khas,30.2,67
Delhi University,Red Fort,95.83,164
India Gate,Chandni Chowk,62.41,63
Gurgaon,India Gate,19.67,122
Nehru Place,Hauz Khas,35.88,131
India Gate,Connaught Place,51.1,160
Karol Bagh,Rajiv Chowk,11.89,92
Karol Bagh,Connaught Place,47.05,176
Connaught Place,Karol Bagh,54.05,142
Karol Bagh,Gurgaon,31.93,135
Red Fort,Chandni Chowk,62.98,157
Hauz Khas,Rajiv Chowk,77.79,101
Connaught Place,Red Fort,31.23,145
Karol Bagh,Hauz Khas,65.84,122
Chandni Chowk,Nehru Place,67.57,127
Chandni Chowk,Karol Bagh,95.37,108
Nehru Place,Gurgaon,80.04,98
India Gate,Red Fort,86.35,67
Karol Bagh,Chandni Chowk,54.14,79
Rajiv Chowk,Delhi University,26.68,54
Connaught Place,Chandni Chowk,99.62,23
Gurgaon,Delhi University,21.64,176
Red Fort,Connaught Place,52.43,10
Karol Bagh,Red Fort,16.13,123
Hauz Khas,Delhi University,94.95,55
Gurgaon,Chandni Chowk,96.84,160
Gurgaon,Nehru Place,74.75,40
Nehru Place,Chandni Chowk,41.5,42
Red Fort,Karol Bagh,32.89,129
Gurgaon,Karol Bagh,33.88,105
Rajiv Chowk,India Gate,21.46,55
Red Fort,Rajiv Chowk,57.32,110
Delhi University,Connaught Place,22.76,141
Hauz Khas,Connaught Place,38.51,173
Delhi University,Karol Bagh,66.4,29
Nehru Place,Red Fort,75.48,108
Chandni Chowk,Delhi University,12.18,155
Connaught Place,Delhi University,48.71,13
Nehru Place,Rajiv Chowk,68.69,75
Delhi University,India Gate,86.79,153
Red Fort,Delhi University,52.78,115
Gurgaon,Red Fort,97.23,18
Connaught Place,India Gate,33.91,130
Gurgaon,Hauz Khas,11.22,62
Nehru Place,Delhi University,53.54,160
Nehru Place,Connaught Place,33.05,20
Hauz Khas,Red Fort,84.13,54
Delhi University,Gurgaon,30.95,150
India Gate,Karol Bagh,37.96,13
Connaught Place,Hauz Khas,81.21,32
Hauz Khas,Gurgaon,74.36,150
Delhi University,Chandni Chowk,60.22,163
Nehru Place,Karol Bagh,73.45,100
Karol Bagh,Delhi University,47.68,50
Hauz Khas,India Gate,10.48,179
Delhi University,Rajiv Chowk,11.02,138
Rajiv Chowk,Chandni Chowk,56.01,69
Gurgaon,Rajiv Chowk,17.5,165
India Gate,Rajiv Chowk,14.6,50
Red Fort,Gurgaon,96.9,31
Karol Bagh,Nehru Place,87.31,86
Nehru Place,India Gate,23.68,145
India Gate,Gurgaon,10.06,141
Connaught Place,Rajiv Chowk,94.75,37
Red Fort,Nehru Place,35.05,98
Chandni Chowk,Red Fort,26.73,46
Rajiv Chowk,Hauz Khas,72.24,18
Delhi University,Nehru Place,19.8,147
Red Fort,Hauz Khas,33.82,139
India Gate,Nehru Place,97.76,176
Chandni Chowk,Rajiv Chowk,67.55,158
Hauz Khas,Karol Bagh,56.86,55
Rajiv Chowk,Gurgaon,45.81,99
Chandni Chowk,India Gate,79.71,99
Rajiv Chowk,Connaught Place,22.69,74
Rajiv Chowk,Nehru Place,97.06,113
Gurgaon,Connaught Place,87.5,68
India Gate,Delhi University,65.59,80
Chandni Chowk,Gurgaon,13.86,113
Rajiv Chowk,Karol Bagh,73.08,27
Karol Bagh,India Gate,92.2,21
Red Fort,India Gate,57.21,27
Hauz Khas,Chandni Chowk,41.88,47
Hauz Khas,Nehru Place,20.82,104
Rajiv Chowk,Red Fort,77.94,123
Chandni Chowk,Hauz Khas,89.65,22
Chandni Chowk,Connaught Place,19.02,155
India Gate,Hauz Khas,78.31,136
Connaught Place,Nehru Place,11.54,46
Connaught Place,Gurgaon,97.03,170
Delhi University,Hauz Khas,65.36,137
Delhi University,Red Fort,59.72,141
India Gate,Chandni Chowk,36.64,128
Gurgaon,India Gate,93.64,127
Nehru Place,Hauz Khas,33.93,175
India Gate,Connaught Place,84.53,15
Karol Bagh,Rajiv Chowk,98.66,155
Karol Bagh,Connaught Place,80.51,28
Connaught Place,Karol Bagh,56.71,28
Karol Bagh,Gurgaon,15.95,91
Red Fort,Chandni Chowk,52.52,43
Hauz Khas,Rajiv Chowk,49.44,148
Connaught Place,Red Fort,28.25,59
Karol Bagh,Hauz Khas,48.12,19
Chandni Chowk,Nehru Place,42.2,164
Chandni Chowk,Karol Bagh,24.73,142
Nehru Place,Gurgaon,49.72,114
India Gate,Red Fort,33.65,99
Karol Bagh,Chandni Chowk,56.99,124
Rajiv Chowk,Delhi University,13.16,81
Connaught Place,Chandni Chowk,91.56,107
Gurgaon,Delhi University,83.47,27
Red Fort,Connaught Place,59.73,122
Karol Bagh,Red Fort,86.66,27
Hauz Khas,Delhi University,96.62,112
Gurgaon,Chandni Chowk,19.95,112
Gurgaon,Nehru Place,66.77,68
Nehru Place,Chandni Chowk,99.82,97
Red Fort,Karol Bagh,98.91,172
Gurgaon,Karol Bagh,64.3,140
Rajiv Chowk,India Gate,21.52,123
Red Fort,Rajiv Chowk,62.49,35
Delhi University,Connaught Place,10.19,80
Hauz Khas,Connaught Place,27.9,148
Delhi University,Karol Bagh,96.05,29
Nehru Place,Red Fort,39.74,89
Chandni Chowk,Delhi University,67.46,94
Connaught Place,Delhi University,35.28,45
Nehru Place,Rajiv Chowk,95.3,114
Delhi University,India Gate,75.57,70
Red Fort,Delhi University,39.67,46
Gurgaon,Red Fort,81.26,123
Connaught Place,India Gate,19.73,166
Gurgaon,Hauz Khas,45.31,56
Nehru Place,Delhi University,29.91,147
Nehru Place,Connaught Place,71.54,110
Hauz Khas,Red Fort,19.22,97
Delhi University,Gurgaon,45.73,173
India Gate,Karol Bagh,34.9,102
Connaught Place,Hauz Khas,55.57,28
Hauz Khas,Gurgaon,41.49,88
Delhi University,Chandni Chowk,73.58,158
Nehru Place,Karol Bagh,12.21,46
Karol Bagh,Delhi University,67.06,82
Hauz Khas,India Gate,30.75,122
Delhi University,Rajiv Chowk,34.18,113
Rajiv Chowk,Chandni Chowk,82.02,23
Gurgaon,Rajiv Chowk,96.0,117
India Gate,Rajiv Chowk,38.49,31
Red Fort,Gurgaon,84.41,69
Karol Bagh,Nehru Place,19.36,42
Nehru Place,India Gate,67.06,40
India Gate,Gurgaon,77.59,83
Connaught Place,Rajiv Chowk,24.04,101
Red Fort,Nehru Place,48.34,166
Chandni Chowk,Red Fort,90.34,66
Rajiv Chowk,Hauz Khas,19.32,33
Delhi University,Nehru Place,11.63,102
Red Fort,Hauz Khas,63.15,76
India Gate,Nehru Place,49.2,30
Chandni Chowk,Rajiv Chowk,81.88,96
Hauz Khas,Karol Bagh,93.11,106
Rajiv Chowk,Gurgaon,36.92,145
Chandni Chowk,India Gate,44.96,31
Rajiv Chowk,Connaught Place,53.76,94
Rajiv Chowk,Nehru Place,62.93,157
Gurgaon,Connaught Place,98.55,99
India Gate,Delhi University,72.76,175
Chandni Chowk,Gurgaon,45.06,98
Rajiv Chowk,Karol Bagh,33.74,93
Karol Bagh,India Gate,95.02,23
Red Fort,India Gate,22.2,101
Hauz Khas,Chandni Chowk,74.82,96
Hauz Khas,Nehru Place,93.29,101
Rajiv Chowk,Red Fort,69.82,141
Chandni Chowk,Hauz Khas,48.07,171
Chandni Chowk,Connaught Place,27.91,39
India Gate,Hauz Khas,43.07,95
Connaught Place,Nehru Place,73.62,76
Connaught Place,Gurgaon,68.46,48
Delhi University,Hauz Khas,93.52,162
Delhi University,Red Fort,88.02,87
India Gate,Chandni Chowk,83.45,35
Gurgaon,India Gate,92.03,47
Nehru Place,Hauz Khas,34.87,24
India Gate,Connaught Place,43.26,167
Karol Bagh,Rajiv Chowk,44.19,121
Karol Bagh,Connaught Place,60.44,145
Connaught Place,Karol Bagh,70.14,68
Karol Bagh,Gurgaon,35.8,165
Red Fort,Chandni Chowk,11.75,166
Hauz Khas,Rajiv Chowk,45.93,96
Connaught Place,Red Fort,37.77,78
Karol Bagh,Hauz Khas,94.8,34
Chandni Chowk,Nehru Place,89.94,164
Chandni Chowk,Karol Bagh,87.43,147
Nehru Place,Gurgaon,68.77,115
India Gate,Red Fort,40.99,81
Karol Bagh,Chandni Chowk,59.4,94
Rajiv Chowk,Delhi University,83.37,149
Connaught Place,Chandni Chowk,18.87,102
Gurgaon,Delhi University,82.1,119
Red Fort,Connaught Place,13.71,12
Karol Bagh,Red Fort,83.48,177
Hauz Khas,Delhi University,82.68,67
Gurgaon,Chandni Chowk,14.59,165
Gurgaon,Nehru Place,66.44,169
Nehru Place,Chandni Chowk,55.22,173
Red Fort,Karol Bagh,25.28,150
Gurgaon,Karol Bagh,23.35,74
Rajiv Chowk,India Gate,79.59,161
Red Fort,Rajiv Chowk,61.09,143
Delhi University,Connaught Place,98.47,45
Hauz Khas,Connaught Place,98.4,137
Delhi University,Karol Bagh,99.34,20
Nehru Place,Red Fort,20.68,167
Chandni Chowk,Delhi University,94.44,73
Connaught Place,Delhi University,32.01,58
Nehru Place,Rajiv Chowk,51.24,69
Delhi University,India Gate,78.17,126
Red Fort,Delhi University,28.33,148
Gurgaon,Red Fort,60.97,157
Connaught Place,India Gate,26.72,87
Gurgaon,Hauz Khas,19.43,46
Nehru Place,Delhi University,20.49,13
Nehru Place,Connaught Place,42.19,173
Hauz Khas,Red Fort,10.42,84
Delhi University,Gurgaon,48.24,94
India Gate,Karol Bagh,69.78,102
Connaught Place,Hauz Khas,46.15,82
Hauz Khas,Gurgaon,17.72,18
Delhi University,Chandni Chowk,15.64,134
Nehru Place,Karol Bagh,35.03,126
Karol Bagh,Delhi University,25.24,96
Hauz Khas,India Gate,96.86,60
Delhi University,Rajiv Chowk,23.61,109
Rajiv Chowk,Chandni Chowk,82.49,90
Gurgaon,Rajiv Chowk,62.75,127
India Gate,Rajiv Chowk,61.24,165
Red Fort,Gurgaon,56.09,106
Karol Bagh,Nehru Place,97.46,57
Nehru Place,India Gate,42.75,21
India Gate,Gurgaon,80.91,92
Connaught Place,Rajiv Chowk,59.98,34
Red Fort,Nehru Place,45.61,138
Chandni Chowk,Red Fort,95.99,119
Rajiv Chowk,Hauz Khas,63.85,97
Delhi University,Nehru Place,20.7,11
Red Fort,Hauz Khas,47.58,103
India Gate,Nehru Place,80.34,57
Chandni Chowk,Rajiv Chowk,72.44,112
Hauz Khas,Karol Bagh,92.47,135
Rajiv Chowk,Gurgaon,33.34,136
Chandni Chowk,India Gate,78.24,95
Rajiv Chowk,Connaught Place,51.39,44
Rajiv Chowk,Nehru Place,61.62,48
Gurgaon,Connaught Place,95.95,137
India Gate,Delhi University,98.14,115
Chandni Chowk,Gurgaon,87.54,59
Rajiv Chowk,Karol Bagh,42.32,142
Karol Bagh,India Gate,89.89,61
Red Fort,India Gate,67.47,43
Hauz Khas,Chandni Chowk,48.7,95
Hauz Khas,Nehru Place,13.22,142
Rajiv Chowk,Red Fort,79.31,135
Chandni Chowk,Hauz Khas,55.19,81
Chandni Chowk,Connaught Place,80.76,136
India Gate,Hauz Khas,77.32,46
Connaught Place,Nehru Place,81.42,61
Connaught Place,Gurgaon,37.06,71
Delhi University,Hauz Khas,82.07,121
Delhi University,Red Fort,59.4,163
India Gate,Chandni Chowk,52.6,150
Gurgaon,India Gate,70.76,131
Nehru Place,Hauz Khas,11.92,135
India Gate,Connaught Place,19.21,143
Karol Bagh,Rajiv Chowk,36.3,173
Karol Bagh,Connaught Place,98.47,147
Connaught Place,Karol Bagh,22.58,59
Karol Bagh,Gurgaon,39.75,167
Red Fort,Chandni Chowk,14.59,172
Hauz Khas,Rajiv Chowk,39.81,132
Connaught Place,Red Fort,38.83,43
Karol Bagh,Hauz Khas,95.21,132
Chandni Chowk,Nehru Place,86.06,166
Chandni Chowk,Karol Bagh,44.45,32
Nehru Place,Gurgaon,12.23,99
India Gate,Red Fort,84.79,27
Karol Bagh,Chandni Chowk,69.45,43
Rajiv Chowk,Delhi University,23.71,107
Connaught Place,Chandni Chowk,99.65,99
Gurgaon,Delhi University,19.02,133
Red Fort,Connaught Place,88.04,17
Karol Bagh,Red Fort,36.48,22
Hauz Khas,Delhi University,49.18,81
Gurgaon,Chandni Chowk,81.59,97
Gurgaon,Nehru Place,70.98,48
Nehru Place,Chandni Chowk,94.41,12
Red Fort,Karol Bagh,65.9,83
Gurgaon,Karol Bagh,18.8,168
Rajiv Chowk,India Gate,89.59,60
Red Fort,Rajiv Chowk,79.22,164
Delhi University,Connaught Place,74.07,22
Hauz Khas,Connaught Place,14.84,156
Delhi University,Karol Bagh,45.66,167
Nehru Place,Red Fort,25.07,176
Chandni Chowk,Delhi University,83.97,80
Connaught Place,Delhi University,73.05,76
Nehru Place,Rajiv Chowk,89.48,134
Delhi University,India Gate,96.99,59
Red Fort,Delhi University,79.73,90
Gurgaon,Red Fort,99.48,41
Connaught Place,India Gate,65.33,146
Gurgaon,Hauz Khas,13.34,115
Nehru Place,Delhi University,11.28,113
Nehru Place,Connaught Place,40.79,169
Hauz Khas,Red Fort,84.11,163
Delhi University,Gurgaon,87.95,28
India Gate,Karol Bagh,96.47,102
Connaught Place,Hauz Khas,15.86,75
Hauz Khas,Gurgaon,14.01,100
Delhi University,Chandni Chowk,92.2,125
Nehru Place,Karol Bagh,37.45,168
Karol Bagh,Delhi University,60.22,159
Hauz Khas,India Gate,98.42,126
Delhi University,Rajiv Chowk,46.04,85
Rajiv Chowk,Chandni Chowk,69.93,45
Gurgaon,Rajiv Chowk,46.08,135
India Gate,Rajiv Chowk,79.14,74
Red Fort,Gurgaon,57.49,73
Karol Bagh,Nehru Place,31.38,106
Nehru Place,India Gate,34.42,178
India Gate,Gurgaon,33.23,68
Connaught Place,Rajiv Chowk,57.91,78
Red Fort,Nehru Place,73.29,167
Chandni Chowk,Red Fort,95.44,61
Rajiv Chowk,Hauz Khas,72.47,64
Delhi University,Nehru Place,80.31,66
Red Fort,Hauz Khas,25.2,92
India Gate,Nehru Place,43.67,62
Chandni Chowk,Rajiv Chowk,47.24,111
Hauz Khas,Karol Bagh,71.77,76
Rajiv Chowk,Gurgaon,36.63,125
Chandni Chowk,India Gate,37.3,43
Rajiv Chowk,Connaught Place,42.03,165
Rajiv Chowk,Nehru Place,82.93,119
Gurgaon,Connaught Place,61.98,52
India Gate,Delhi University,16.77,123
Chandni Chowk,Gurgaon,17.04,16
Rajiv Chowk,Karol Bagh,43.42,103
Karol Bagh,India Gate,78.99,42
Red Fort,India Gate,71.98,113
Hauz Khas,Chandni Chowk,73.72,161
Hauz Khas,Nehru Place,79.05,175
Rajiv Chowk,Red Fort,35.84,148
Chandni Chowk,Hauz Khas,59.34,147
Chandni Chowk,Connaught Place,58.9,75
India Gate,Hauz Khas,76.57,74
Connaught Place,Nehru Place,96.12,13
Connaught Place,Gurgaon,35.02,163
Delhi University,Hauz Khas,81.4,114
Delhi University,Red Fort,69.4,59
India Gate,Chandni Chowk,62.22,11
Gurgaon,India Gate,79.74,18
Nehru Place,Hauz Khas,94.96,112
India Gate,Connaught Place,13.3,107
Karol Bagh,Rajiv Chowk,23.27,117
Karol Bagh,Connaught Place,78.07,105
Connaught Place,Karol Bagh,17.54,167
Karol Bagh,Gurgaon,56.45,58
Red Fort,Chandni Chowk,29.79,119
Hauz Khas,Rajiv Chowk,34.69,166
Connaught Place,Red Fort,73.17,90
Karol Bagh,Hauz Khas,12.72,98
Chandni Chowk,Nehru Place,88.6,55
Chandni Chowk,Karol Bagh,50.0,144
Nehru Place,Gurgaon,55.22,28
India Gate,Red Fort,58.6,66
Karol Bagh,Chandni Chowk,68.1,171
Rajiv Chowk,Delhi University,41.04,18
Connaught Place,Chandni Chowk,19.1,88
Gurgaon,Delhi University,38.65,156
Red Fort,Connaught Place,25.13,49
Karol Bagh,Red Fort,60.05,162
Hauz Khas,Delhi University,38.62,150
Gurgaon,Chandni Chowk,96.23,19
Gurgaon,Nehru Place,96.92,107
Nehru Place,Chandni Chowk,65.81,107
Red Fort,Karol Bagh,65.57,60
Gurgaon,Karol Bagh,98.68,153
Rajiv Chowk,India Gate,89.86,177
Red Fort,Rajiv Chowk,78.86,80
Delhi University,Connaught Place,38.22,71
Hauz Khas,Connaught Place,42.9,155
Delhi University,Karol Bagh,28.11,146
Nehru Place,Red Fort,53.84,121
Chandni Chowk,Delhi University,99.13,145
Connaught Place,Delhi University,92.09,30
Nehru Place,Rajiv Chowk,20.65,178
Delhi University,India Gate,12.27,82
Red Fort,Delhi University,90.88,126
Gurgaon,Red Fort,58.35,138
Connaught Place,India Gate,28.02,129
Gurgaon,Hauz Khas,70.63,51
Nehru Place,Delhi University,67.98,140
Nehru Place,Connaught Place,20.99,42
Hauz Khas,Red Fort,33.36,134
Delhi University,Gurgaon,15.41,20
India Gate,Karol Bagh,28.89,146
Connaught Place,Hauz Khas,21.91,31
Hauz Khas,Gurgaon,27.39,129
Delhi University,Chandni Chowk,71.69,67
