Date,Time,Bus Stop,Action,Number of Passengers
2024-09-03,00:50:00,Hauz Khas,Boarding,14
2024-09-03,00:55:00,Connaught Place,Deboarding,30
2024-09-03,01:00:00,India Gate,Deboarding,19
2024-09-03,01:05:00,Hauz Khas,Deboarding,23
2024-09-03,01:10:00,Hauz Khas,Deboarding,4
2024-09-03,01:15:00,Hauz Khas,Boarding,11
2024-09-03,01:20:00,Karol Bagh,Deboarding,27
2024-09-03,01:25:00,Rajiv Chowk,Boarding,14
2024-09-03,01:30:00,India Gate,Boarding,14
2024-09-03,01:35:00,Gurgaon,Deboarding,17
2024-09-03,01:40:00,India Gate,Deboarding,28
2024-09-03,01:45:00,Red Fort,Deboarding,8
2024-09-03,01:50:00,Rajiv Chowk,Boarding,3
2024-09-03,01:55:00,Delhi University,Boarding,17
2024-09-03,02:00:00,Delhi University,Boarding,29
2024-09-03,02:05:00,Rajiv Chowk,Deboarding,24
2024-09-03,02:10:00,Karol Bagh,Boarding,4
2024-09-03,02:15:00,Karol Bagh,Deboarding,7
2024-09-03,02:20:00,Karol Bagh,Boarding,25
2024-09-03,02:25:00,India Gate,Boarding,25
2024-09-03,02:30:00,Nehru Place,Deboarding,25
2024-09-03,02:35:00,Gurgaon,Deboarding,22
2024-09-03,02:40:00,Gurgaon,Deboarding,28
2024-09-03,02:45:00,Rajiv Chowk,Boarding,15
2024-09-03,02:50:00,India Gate,Deboarding,15
2024-09-03,02:55:00,Red Fort,Deboarding,19
2024-09-03,03:00:00,Connaught Place,Deboarding,17
2024-09-03,03:05:00,India Gate,Deboarding,15
2024-09-03,03:10:00,Nehru Place,Boarding,2
2024-09-03,03:15:00,Rajiv Chowk,Deboarding,3
2024-09-03,03:20:00,India Gate,Deboarding,15
2024-09-03,03:25:00,Gurgaon,Boarding,15
2024-09-03,03:30:00,Gurgaon,Boarding,11
2024-09-03,03:35:00,Gurgaon,Deboarding,17
2024-09-03,03:40:00,Karol Bagh,Boarding,15
2024-09-03,03:45:00,India Gate,Deboarding,23
2024-09-03,03:50:00,India Gate,Boarding,2
2024-09-03,03:55:00,Chandni Chowk,Deboarding,15
2024-09-03,04:00:00,Delhi University,Boarding,12
2024-09-03,04:05:00,Rajiv Chowk,Deboarding,13
2024-09-03,04:10:00,Hauz Khas,Deboarding,22
2024-09-03,04:15:00,Gurgaon,Boarding,26
2024-09-03,04:20:00,Rajiv Chowk,Boarding,11
2024-09-03,04:25:00,India Gate,Deboarding,10
2024-09-03,04:30:00,Red Fort,Boarding,11
2024-09-03,04:35:00,India Gate,Boarding,30
2024-09-03,04:40:00,Rajiv Chowk,Deboarding,21
2024-09-03,04:45:00,Hauz Khas,Boarding,20
2024-09-03,04:50:00,India Gate,Deboarding,18
2024-09-03,04:55:00,Hauz Khas,Deboarding,27
2024-09-03,05:00:00,Karol Bagh,Boarding,21
2024-09-03,05:05:00,Hauz Khas,Deboarding,1
2024-09-03,05:10:00,Rajiv Chowk,Deboarding,6
2024-09-03,05:15:00,Chandni Chowk,Deboarding,25
2024-09-03,05:20:00,Nehru Place,Boarding,8
2024-09-03,05:25:00,Karol Bagh,Boarding,3
2024-09-03,05:30:00,Red Fort,Boarding,17
2024-09-03,05:35:00,Delhi University,Boarding,22
2024-09-03,05:40:00,Rajiv Chowk,Boarding,20
2024-09-03,05:45:00,Hauz Khas,Boarding,6
2024-09-03,05:50:00,Karol Bagh,Boarding,24
2024-09-03,05:55:00,Nehru Place,Boarding,14
2024-09-03,06:00:00,Rajiv Chowk,Boarding,15
2024-09-03,06:05:00,Gurgaon,Deboarding,25
2024-09-03,06:10:00,Nehru Place,Boarding,18
2024-09-03,06:15:00,Chandni Chowk,Deboarding,26
2024-09-03,06:20:00,Nehru Place,Boarding,12
2024-09-03,06:25:00,Gurgaon,Deboarding,15
2024-09-03,06:30:00,Red Fort,Deboarding,17
2024-09-03,06:35:00,Delhi University,Deboarding,6
2024-09-03,06:40:00,Chandni Chowk,Boarding,28
2024-09-03,06:45:00,Red Fort,Boarding,21
2024-09-03,06:50:00,Nehru Place,Deboarding,18
2024-09-03,06:55:00,India Gate,Boarding,10
2024-09-03,07:00:00,India Gate,Boarding,9
2024-09-03,07:05:00,Nehru Place,Boarding,27
2024-09-03,07:10:00,Hauz Khas,Boarding,30
2024-09-03,07:15:00,Chandni Chowk,Deboarding,29
2024-09-03,07:20:00,Rajiv Chowk,Boarding,14
2024-09-03,07:25:00,Connaught Place,Deboarding,17
2024-09-03,07:30:00,Rajiv Chowk,Boarding,13
2024-09-03,07:35:00,India Gate,Deboarding,8
2024-09-03,07:40:00,Connaught Place,Deboarding,30
2024-09-03,07:45:00,India Gate,Deboarding,26
2024-09-03,07:50:00,Karol Bagh,Boarding,2
2024-09-03,07:55:00,Red Fort,Deboarding,23
2024-09-03,08:00:00,Karol Bagh,Deboarding,15
2024-09-03,08:05:00,Gurgaon,Boarding,29
2024-09-03,08:10:00,India Gate,Boarding,9
2024-09-03,08:15:00,Chandni Chowk,Boarding,18
2024-09-03,08:20:00,Gurgaon,Deboarding,4
2024-09-03,08:25:00,Red Fort,Boarding,10
2024-09-03,08:30:00,India Gate,Boarding,8
2024-09-03,08:35:00,Hauz Khas,Deboarding,3
2024-09-03,08:40:00,India Gate,Deboarding,20
2024-09-03,08:45:00,Delhi University,Boarding,21
2024-09-03,08:50:00,Delhi University,Boarding,23
2024-09-03,08:55:00,Karol Bagh,Deboarding,14
2024-09-03,09:00:00,Connaught Place,Deboarding,8
2024-09-03,09:05:00,Gurgaon,Deboarding,6
2024-09-03,09:10:00,India Gate,Deboarding,3
2024-09-03,09:15:00,Delhi University,Boarding,13
2024-09-03,09:20:00,Nehru Place,Boarding,21
2024-09-03,09:25:00,Hauz Khas,Deboarding,9
2024-09-03,09:30:00,Connaught Place,Deboarding,26
2024-09-03,09:35:00,India Gate,Deboarding,8
2024-09-03,09:40:00,India Gate,Deboarding,5
2024-09-03,09:45:00,Connaught Place,Deboarding,18
2024-09-03,09:50:00,Rajiv Chowk,Boarding,27
2024-09-03,09:55:00,Nehru Place,Deboarding,21
2024-09-03,10:00:00,Karol Bagh,Boarding,3
2024-09-03,10:05:00,Nehru Place,Boarding,10
2024-09-03,10:10:00,Chandni Chowk,Boarding,26
2024-09-03,10:15:00,Chandni Chowk,Boarding,11
2024-09-03,10:20:00,Red Fort,Deboarding,27
2024-09-03,10:25:00,Delhi University,Deboarding,9
2024-09-03,10:30:00,Connaught Place,Boarding,10
2024-09-03,10:35:00,Rajiv Chowk,Boarding,28
2024-09-03,10:40:00,Rajiv Chowk,Deboarding,4
2024-09-03,10:45:00,Rajiv Chowk,Deboarding,29
2024-09-03,10:50:00,Hauz Khas,Deboarding,29
2024-09-03,10:55:00,Hauz Khas,Deboarding,6
2024-09-03,11:00:00,Nehru Place,Deboarding,12
2024-09-03,11:05:00,Delhi University,Deboarding,26
2024-09-03,11:10:00,India Gate,Deboarding,3
2024-09-03,11:15:00,Hauz Khas,Boarding,18
2024-09-03,11:20:00,Red Fort,Deboarding,4
2024-09-03,11:25:00,India Gate,Deboarding,22
2024-09-03,11:30:00,Red Fort,Deboarding,15
2024-09-03,11:35:00,Gurgaon,Deboarding,6
2024-09-03,11:40:00,Nehru Place,Deboarding,15
2024-09-03,11:45:00,Connaught Place,Deboarding,20
2024-09-03,11:50:00,Hauz Khas,Deboarding,21
2024-09-03,11:55:00,Connaught Place,Boarding,22
2024-09-03,12:00:00,Hauz Khas,Deboarding,17
2024-09-03,12:05:00,Karol Bagh,Boarding,5
2024-09-03,12:10:00,Gurgaon,Deboarding,2
2024-09-03,12:15:00,Karol Bagh,Boarding,8
2024-09-03,12:20:00,Rajiv Chowk,Deboarding,13
2024-09-03,12:25:00,Gurgaon,Boarding,20
2024-09-03,12:30:00,Karol Bagh,Deboarding,12
2024-09-03,12:35:00,Rajiv Chowk,Deboarding,25
2024-09-03,12:40:00,India Gate,Boarding,17
2024-09-03,12:45:00,Rajiv Chowk,Deboarding,11
2024-09-03,12:50:00,Red Fort,Boarding,4
2024-09-03,12:55:00,Connaught Place,Boarding,16
2024-09-03,13:00:00,Delhi University,Deboarding,30
2024-09-03,13:05:00,Delhi University,Boarding,9
2024-09-03,13:10:00,Red Fort,Deboarding,7
2024-09-03,13:15:00,Gurgaon,Deboarding,23
2024-09-03,13:20:00,Nehru Place,Boarding,4
2024-09-03,13:25:00,Karol Bagh,Boarding,15
2024-09-03,13:30:00,Karol Bagh,Deboarding,3
2024-09-03,13:35:00,Rajiv Chowk,Deboarding,23
2024-09-03,13:40:00,India Gate,Deboarding,29
2024-09-03,13:45:00,Red Fort,Boarding,23
2024-09-03,13:50:00,Karol Bagh,Deboarding,17
2024-09-03,13:55:00,Chandni Chowk,Boarding,7
2024-09-03,14:00:00,Karol Bagh,Boarding,26
2024-09-03,14:05:00,Nehru Place,Boarding,12
2024-09-03,14:10:00,Delhi University,Deboarding,15
2024-09-03,14:15:00,Delhi University,Boarding,20
2024-09-03,14:20:00,India Gate,Boarding,10
2024-09-03,14:25:00,Hauz Khas,Deboarding,17
2024-09-03,14:30:00,Hauz Khas,Deboarding,27
2024-09-03,14:35:00,Gurgaon,Boarding,5
2024-09-03,14:40:00,Rajiv Chowk,Boarding,15
2024-09-03,14:45:00,Nehru Place,Deboarding,5
2024-09-03,14:50:00,Delhi University,Boarding,25
2024-09-03,14:55:00,Karol Bagh,Deboarding,17
2024-09-03,15:00:00,Connaught Place,Boarding,17
2024-09-03,15:05:00,Karol Bagh,Deboarding,6
2024-09-03,15:10:00,Karol Bagh,Deboarding,30
2024-09-03,15:15:00,Chandni Chowk,Deboarding,17
2024-09-03,15:20:00,Red Fort,Boarding,9
2024-09-03,15:25:00,Chandni Chowk,Deboarding,5
2024-09-03,15:30:00,Red Fort,Boarding,17
2024-09-03,15:35:00,Karol Bagh,Boarding,6
2024-09-03,15:40:00,Gurgaon,Deboarding,27
2024-09-03,15:45:00,Gurgaon,Boarding,27
2024-09-03,15:50:00,Connaught Place,Boarding,2
2024-09-03,15:55:00,Gurgaon,Deboarding,21
2024-09-03,16:00:00,Chandni Chowk,Deboarding,20
2024-09-03,16:05:00,Connaught Place,Deboarding,29
2024-09-03,16:10:00,Delhi University,Deboarding,21
2024-09-03,16:15:00,Red Fort,Deboarding,8
2024-09-03,16:20:00,Hauz Khas,Deboarding,15
2024-09-03,16:25:00,India Gate,Boarding,6
2024-09-03,16:30:00,Nehru Place,Deboarding,16
2024-09-03,16:35:00,Nehru Place,Boarding,11
2024-09-03,16:40:00,Gurgaon,Boarding,11
2024-09-03,16:45:00,Rajiv Chowk,Deboarding,13
2024-09-03,16:50:00,Karol Bagh,Deboarding,17
2024-09-03,16:55:00,Delhi University,Boarding,11
2024-09-03,17:00:00,Chandni Chowk,Deboarding,4
2024-09-03,17:05:00,Red Fort,Deboarding,8
2024-09-03,17:10:00,Karol Bagh,Boarding,2
2024-09-03,17:15:00,Red Fort,Deboarding,28
2024-09-03,17:20:00,Gurgaon,Deboarding,8
2024-09-03,17:25:00,Karol Bagh,Deboarding,30
2024-09-03,17:30:00,Gurgaon,Deboarding,7
2024-09-03,17:35:00,Karol Bagh,Deboarding,17
2024-09-03,17:40:00,Nehru Place,Deboarding,29
2024-09-03,17:45:00,Red Fort,Deboarding,1
2024-09-03,17:50:00,India Gate,Deboarding,17
2024-09-03,17:55:00,Nehru Place,Boarding,7
2024-09-03,18:00:00,Gurgaon,Deboarding,2
2024-09-03,18:05:00,Connaught Place,Deboarding,16
2024-09-03,18:10:00,Gurgaon,Deboarding,10
2024-09-03,18:15:00,Delhi University,Boarding,28
2024-09-03,18:20:00,India Gate,Deboarding,5
2024-09-03,18:25:00,Red Fort,Deboarding,25
2024-09-03,18:30:00,Hauz Khas,Deboarding,2
2024-09-03,18:35:00,Hauz Khas,Boarding,19
2024-09-03,18:40:00,Delhi University,Boarding,12
2024-09-03,18:45:00,Delhi University,Deboarding,3
2024-09-03,18:50:00,Hauz Khas,Deboarding,25
2024-09-03,18:55:00,Delhi University,Deboarding,27
2024-09-03,19:00:00,Gurgaon,Boarding,5
2024-09-03,19:05:00,India Gate,Deboarding,12
2024-09-03,19:10:00,Rajiv Chowk,Deboarding,25
2024-09-03,19:15:00,Karol Bagh,Boarding,20
2024-09-03,19:20:00,Delhi University,Deboarding,17
2024-09-03,19:25:00,Connaught Place,Boarding,2
2024-09-03,19:30:00,Karol Bagh,Deboarding,26
2024-09-03,19:35:00,Nehru Place,Deboarding,5
2024-09-03,19:40:00,Gurgaon,Boarding,11
2024-09-03,19:45:00,Gurgaon,Deboarding,6
2024-09-03,19:50:00,Hauz Khas,Deboarding,19
2024-09-03,19:55:00,Rajiv Chowk,Deboarding,23
2024-09-03,20:00:00,Gurgaon,Deboarding,16
2024-09-03,20:05:00,Connaught Place,Deboarding,11
2024-09-03,20:10:00,India Gate,Deboarding,19
2024-09-03,20:15:00,Red Fort,Boarding,20
2024-09-03,20:20:00,Nehru Place,Deboarding,21
2024-09-03,20:25:00,Gurgaon,Boarding,24
2024-09-03,20:30:00,Connaught Place,Deboarding,6
2024-09-03,20:35:00,Delhi University,Deboarding,5
2024-09-03,20:40:00,Chandni Chowk,Boarding,19
2024-09-03,20:45:00,India Gate,Boarding,1
2024-09-03,20:50:00,Nehru Place,Deboarding,14
2024-09-03,20:55:00,Karol Bagh,Deboarding,23
2024-09-03,21:00:00,Chandni Chowk,Deboarding,17
2024-09-03,21:05:00,Gurgaon,Deboarding,28
2024-09-03,21:10:00,Connaught Place,Boarding,17
2024-09-03,21:15:00,Chandni Chowk,Deboarding,22
2024-09-03,21:20:00,Nehru Place,Deboarding,11
2024-09-03,21:25:00,Karol Bagh,Deboarding,30
2024-09-03,21:30:00,Delhi University,Deboarding,18
2024-09-03,21:35:00,Rajiv Chowk,Deboarding,20
2024-09-03,21:40:00,Nehru Place,Boarding,8
2024-09-03,21:45:00,Red Fort,Deboarding,8
2024-09-03,21:50:00,Red Fort,Deboarding,23
2024-09-03,21:55:00,Chandni Chowk,Deboarding,11
2024-09-03,22:00:00,Nehru Place,Deboarding,18
2024-09-03,22:05:00,Red Fort,Deboarding,4
2024-09-03,22:10:00,Gurgaon,Deboarding,29
2024-09-03,22:15:00,Hauz Khas,Deboarding,25
2024-09-03,22:20:00,Karol Bagh,Deboarding,2
2024-09-03,22:25:00,Red Fort,Boarding,12
2024-09-03,22:30:00,Nehru Place,Deboarding,24
2024-09-03,22:35:00,Nehru Place,Boarding,7
2024-09-03,22:40:00,Delhi University,Deboarding,30
2024-09-03,22:45:00,Delhi University,Deboarding,5
2024-09-03,22:50:00,India Gate,Boarding,8
2024-09-03,22:55:00,Connaught Place,Boarding,21
2024-09-03,23:00:00,Chandni Chowk,Boarding,4
2024-09-03,23:05:00,Hauz Khas,Deboarding,23
2024-09-03,23:10:00,Nehru Place,Boarding,22
2024-09-03,23:15:00,Karol Bagh,Boarding,18
2024-09-03,23:20:00,Karol Bagh,Deboarding,21
2024-09-03,23:25:00,Nehru Place,Deboarding,21
2024-09-03,23:30:00,Chandni Chowk,Deboarding,11
2024-09-03,23:35:00,Red Fort,Boarding,30
2024-09-03,23:40:00,India Gate,Boarding,18
2024-09-03,23:45:00,Connaught Place,Boarding,14
2024-09-03,23:50:00,Karol Bagh,Boarding,27
2024-09-03,23:55:00,Hauz Khas,Deboarding,6
2024-09-04,00:00:00,Red Fort,Boarding,1
2024-09-04,00:05:00,Red Fort,Boarding,30
2024-09-04,00:10:00,Rajiv Chowk,Deboarding,15
2024-09-04,00:15:00,Delhi University,Deboarding,29
2024-09-04,00:20:00,Karol Bagh,Deboarding,9
2024-09-04,00:25:00,Chandni Chowk,Boarding,11
2024-09-04,00:30:00,Karol Bagh,Deboarding,21
2024-09-04,00:35:00,Red Fort,Boarding,1
2024-09-04,00:40:00,Rajiv Chowk,Deboarding,19
2024-09-04,00:45:00,Chandni Chowk,Boarding,20
2024-09-04,00:50:00,Hauz Khas,Deboarding,17
2024-09-04,00:55:00,Rajiv Chowk,Boarding,13
2024-09-04,01:00:00,India Gate,Boarding,5
2024-09-04,01:05:00,Nehru Place,Deboarding,30
2024-09-04,01:10:00,Chandni Chowk,Boarding,9
2024-09-04,01:15:00,Hauz Khas,Boarding,15
2024-09-04,01:20:00,Red Fort,Deboarding,10
2024-09-04,01:25:00,Gurgaon,Boarding,9
2024-09-04,01:30:00,Rajiv Chowk,Boarding,2
2024-09-04,01:35:00,India Gate,Deboarding,10
2024-09-04,01:40:00,Karol Bagh,Deboarding,22
2024-09-04,01:45:00,Delhi University,Deboarding,23
2024-09-04,01:50:00,India Gate,Deboarding,12
2024-09-04,01:55:00,Gurgaon,Boarding,8
2024-09-04,02:00:00,Karol Bagh,Deboarding,5
2024-09-04,02:05:00,Nehru Place,Deboarding,14
2024-09-04,02:10:00,Delhi University,Deboarding,25
2024-09-04,02:15:00,Delhi University,Boarding,25
2024-09-04,02:20:00,Chandni Chowk,Boarding,17
2024-09-04,02:25:00,Nehru Place,Deboarding,3
2024-09-04,02:30:00,Gurgaon,Boarding,2
2024-09-04,02:35:00,Delhi University,Boarding,19
2024-09-04,02:40:00,Delhi University,Boarding,6
2024-09-04,02:45:00,Rajiv Chowk,Deboarding,4
2024-09-04,02:50:00,Chandni Chowk,Deboarding,3
2024-09-04,02:55:00,Delhi University,Deboarding,26
2024-09-04,03:00:00,Connaught Place,Deboarding,5
2024-09-04,03:05:00,Delhi University,Deboarding,15
2024-09-04,03:10:00,Gurgaon,Boarding,18
2024-09-04,03:15:00,Nehru Place,Deboarding,24
2024-09-04,03:20:00,Connaught Place,Deboarding,9
2024-09-04,03:25:00,Connaught Place,Boarding,19
2024-09-04,03:30:00,India Gate,Boarding,14
2024-09-04,03:35:00,Rajiv Chowk,Boarding,18
2024-09-04,03:40:00,Connaught Place,Boarding,30
2024-09-04,03:45:00,Nehru Place,Boarding,10
2024-09-04,03:50:00,Hauz Khas,Boarding,25
2024-09-04,03:55:00,Karol Bagh,Deboarding,12
2024-09-04,04:00:00,Hauz Khas,Deboarding,28
2024-09-04,04:05:00,Hauz Khas,Deboarding,3
2024-09-04,04:10:00,Delhi University,Boarding,21
2024-09-04,04:15:00,Rajiv Chowk,Boarding,6
2024-09-04,04:20:00,Delhi University,Deboarding,17
2024-09-04,04:25:00,Karol Bagh,Boarding,27
2024-09-04,04:30:00,Connaught Place,Boarding,10
2024-09-04,04:35:00,Nehru Place,Deboarding,18
2024-09-04,04:40:00,Hauz Khas,Boarding,8
2024-09-04,04:45:00,Nehru Place,Deboarding,5
2024-09-04,04:50:00,Red Fort,Boarding,30
2024-09-04,04:55:00,India Gate,Boarding,26
2024-09-04,05:00:00,Hauz Khas,Boarding,8
2024-09-04,05:05:00,Chandni Chowk,Boarding,4
2024-09-04,05:10:00,Gurgaon,Boarding,15
2024-09-04,05:15:00,Gurgaon,Boarding,8
2024-09-04,05:20:00,Connaught Place,Deboarding,15
2024-09-04,05:25:00,Chandni Chowk,Boarding,25
2024-09-04,05:30:00,Connaught Place,Boarding,17
2024-09-04,05:35:00,Red Fort,Boarding,27
2024-09-04,05:40:00,Gurgaon,Deboarding,19
2024-09-04,05:45:00,Gurgaon,Deboarding,8
2024-09-04,05:50:00,Red Fort,Boarding,22
2024-09-04,05:55:00,Delhi University,Boarding,14
2024-09-04,06:00:00,Red Fort,Deboarding,2
2024-09-04,06:05:00,Delhi University,Boarding,21
2024-09-04,06:10:00,Hauz Khas,Deboarding,2
2024-09-04,06:15:00,Rajiv Chowk,Deboarding,26
2024-09-04,06:20:00,Delhi University,Deboarding,23
2024-09-04,06:25:00,Hauz Khas,Deboarding,5
2024-09-04,06:30:00,Red Fort,Deboarding,6
2024-09-04,06:35:00,Delhi University,Deboarding,8
2024-09-04,06:40:00,Chandni Chowk,Deboarding,28
2024-09-04,06:45:00,Karol Bagh,Deboarding,30
2024-09-04,06:50:00,Connaught Place,Deboarding,14
2024-09-04,06:55:00,Delhi University,Boarding,13
2024-09-04,07:00:00,Chandni Chowk,Deboarding,7
2024-09-04,07:05:00,Rajiv Chowk,Boarding,30
2024-09-04,07:10:00,Nehru Place,Deboarding,3
2024-09-04,07:15:00,Delhi University,Boarding,2
2024-09-04,07:20:00,Red Fort,Deboarding,22
2024-09-04,07:25:00,Gurgaon,Boarding,28
2024-09-04,07:30:00,India Gate,Boarding,26
2024-09-04,07:35:00,Gurgaon,Boarding,16
2024-09-04,07:40:00,Chandni Chowk,Deboarding,10
2024-09-04,07:45:00,Connaught Place,Boarding,30
2024-09-04,07:50:00,Chandni Chowk,Boarding,24
2024-09-04,07:55:00,Nehru Place,Boarding,23
2024-09-04,08:00:00,Gurgaon,Boarding,13
2024-09-04,08:05:00,Chandni Chowk,Deboarding,25
2024-09-04,08:10:00,Red Fort,Deboarding,15
2024-09-04,08:15:00,Delhi University,Deboarding,10
2024-09-04,08:20:00,Red Fort,Deboarding,17
2024-09-04,08:25:00,Nehru Place,Deboarding,4
2024-09-04,08:30:00,Nehru Place,Deboarding,30
2024-09-04,08:35:00,Chandni Chowk,Deboarding,11
2024-09-04,08:40:00,Hauz Khas,Boarding,19
2024-09-04,08:45:00,Chandni Chowk,Boarding,1
2024-09-04,08:50:00,Red Fort,Deboarding,10
2024-09-04,08:55:00,Karol Bagh,Boarding,11
2024-09-04,09:00:00,Chandni Chowk,Deboarding,19
2024-09-04,09:05:00,Chandni Chowk,Deboarding,18
2024-09-04,09:10:00,Rajiv Chowk,Deboarding,25
2024-09-04,09:15:00,Nehru Place,Deboarding,15
2024-09-04,09:20:00,Karol Bagh,Deboarding,6
2024-09-04,09:25:00,Karol Bagh,Deboarding,6
2024-09-04,09:30:00,Delhi University,Boarding,17
2024-09-04,09:35:00,Connaught Place,Boarding,27
2024-09-04,09:40:00,Connaught Place,Boarding,14
2024-09-04,09:45:00,Karol Bagh,Boarding,3
2024-09-04,09:50:00,Karol Bagh,Boarding,7
2024-09-04,09:55:00,Delhi University,Deboarding,12
2024-09-04,10:00:00,Connaught Place,Deboarding,22
2024-09-04,10:05:00,Nehru Place,Boarding,1
2024-09-04,10:10:00,Delhi University,Deboarding,1
2024-09-04,10:15:00,Connaught Place,Deboarding,18
2024-09-04,10:20:00,Red Fort,Boarding,17
2024-09-04,10:25:00,Hauz Khas,Boarding,4
2024-09-04,10:30:00,India Gate,Boarding,8
2024-09-04,10:35:00,Chandni Chowk,Deboarding,27
2024-09-04,10:40:00,Rajiv Chowk,Deboarding,26
2024-09-04,10:45:00,Hauz Khas,Boarding,12
2024-09-04,10:50:00,Hauz Khas,Deboarding,19
2024-09-04,10:55:00,Chandni Chowk,Boarding,10
2024-09-04,11:00:00,India Gate,Boarding,3
2024-09-04,11:05:00,Hauz Khas,Deboarding,13
2024-09-04,11:10:00,Delhi University,Deboarding,2
2024-09-04,11:15:00,Connaught Place,Boarding,3
2024-09-04,11:20:00,Nehru Place,Deboarding,21
2024-09-04,11:25:00,Rajiv Chowk,Boarding,29
2024-09-04,11:30:00,Delhi University,Boarding,8
2024-09-04,11:35:00,Chandni Chowk,Deboarding,9
2024-09-04,11:40:00,Connaught Place,Boarding,22
2024-09-04,11:45:00,Red Fort,Boarding,6
2024-09-04,11:50:00,Rajiv Chowk,Boarding,7
2024-09-04,11:55:00,Gurgaon,Boarding,25
2024-09-04,12:00:00,Hauz Khas,Boarding,10
2024-09-04,12:05:00,Karol Bagh,Boarding,19
2024-09-04,12:10:00,Hauz Khas,Deboarding,13
2024-09-04,12:15:00,Karol Bagh,Boarding,17
2024-09-04,12:20:00,Rajiv Chowk,Boarding,4
2024-09-04,12:25:00,Hauz Khas,Boarding,27
2024-09-04,12:30:00,India Gate,Deboarding,20
2024-09-04,12:35:00,Gurgaon,Deboarding,25
2024-09-04,12:40:00,Rajiv Chowk,Boarding,21
2024-09-04,12:45:00,Red Fort,Deboarding,16
2024-09-04,12:50:00,Chandni Chowk,Deboarding,18
2024-09-04,12:55:00,Hauz Khas,Deboarding,6
2024-09-04,13:00:00,Gurgaon,Deboarding,3
2024-09-04,13:05:00,Gurgaon,Deboarding,26
2024-09-04,13:10:00,Chandni Chowk,Boarding,3
2024-09-04,13:15:00,Red Fort,Boarding,13
2024-09-04,13:20:00,Karol Bagh,Deboarding,11
2024-09-04,13:25:00,Rajiv Chowk,Boarding,3
2024-09-04,13:30:00,Connaught Place,Deboarding,15
2024-09-04,13:35:00,Rajiv Chowk,Deboarding,4
2024-09-04,13:40:00,Karol Bagh,Boarding,6
2024-09-04,13:45:00,Hauz Khas,Deboarding,18
2024-09-04,13:50:00,Delhi University,Deboarding,4
2024-09-04,13:55:00,Connaught Place,Boarding,12
2024-09-04,14:00:00,Delhi University,Boarding,20
2024-09-04,14:05:00,Gurgaon,Deboarding,28
2024-09-04,14:10:00,Hauz Khas,Boarding,10
2024-09-04,14:15:00,Hauz Khas,Deboarding,25
2024-09-04,14:20:00,India Gate,Boarding,19
2024-09-04,14:25:00,Delhi University,Boarding,22
2024-09-04,14:30:00,Hauz Khas,Boarding,5
2024-09-04,14:35:00,Red Fort,Deboarding,9
2024-09-04,14:40:00,Nehru Place,Boarding,3
2024-09-04,14:45:00,Karol Bagh,Deboarding,9
2024-09-04,14:50:00,Hauz Khas,Deboarding,16
2024-09-04,14:55:00,India Gate,Deboarding,9
2024-09-04,15:00:00,Chandni Chowk,Deboarding,20
2024-09-04,15:05:00,Gurgaon,Boarding,15
2024-09-04,15:10:00,India Gate,Boarding,10
2024-09-04,15:15:00,Connaught Place,Deboarding,11
2024-09-04,15:20:00,Gurgaon,Deboarding,26
2024-09-04,15:25:00,Rajiv Chowk,Deboarding,11
2024-09-04,15:30:00,Hauz Khas,Boarding,10
2024-09-04,15:35:00,Rajiv Chowk,Boarding,16
2024-09-04,15:40:00,Rajiv Chowk,Boarding,13
2024-09-04,15:45:00,Rajiv Chowk,Deboarding,24
2024-09-04,15:50:00,Nehru Place,Boarding,11
2024-09-04,15:55:00,Hauz Khas,Deboarding,27
2024-09-04,16:00:00,Hauz Khas,Deboarding,4
2024-09-04,16:05:00,Gurgaon,Boarding,19
2024-09-04,16:10:00,Delhi University,Boarding,22
2024-09-04,16:15:00,Delhi University,Boarding,24
2024-09-04,16:20:00,Nehru Place,Boarding,15
2024-09-04,16:25:00,Red Fort,Boarding,27
2024-09-04,16:30:00,Hauz Khas,Deboarding,5
2024-09-04,16:35:00,Red Fort,Boarding,9
2024-09-04,16:40:00,Karol Bagh,Deboarding,26
2024-09-04,16:45:00,Hauz Khas,Boarding,15
2024-09-04,16:50:00,Gurgaon,Deboarding,19
2024-09-04,16:55:00,Hauz Khas,Deboarding,18
2024-09-04,17:00:00,Connaught Place,Deboarding,23
2024-09-04,17:05:00,Delhi University,Boarding,4
2024-09-04,17:10:00,Chandni Chowk,Deboarding,6
2024-09-04,17:15:00,Gurgaon,Boarding,19
2024-09-04,17:20:00,Hauz Khas,Deboarding,26
2024-09-04,17:25:00,Hauz Khas,Boarding,1
2024-09-04,17:30:00,India Gate,Deboarding,8
2024-09-04,17:35:00,Delhi University,Boarding,15
2024-09-04,17:40:00,Rajiv Chowk,Deboarding,15
2024-09-04,17:45:00,Gurgaon,Boarding,12
2024-09-04,17:50:00,Connaught Place,Deboarding,4
2024-09-04,17:55:00,Red Fort,Deboarding,30
2024-09-04,18:00:00,India Gate,Boarding,27
2024-09-04,18:05:00,Karol Bagh,Deboarding,10
2024-09-04,18:10:00,Rajiv Chowk,Deboarding,26
2024-09-04,18:15:00,Chandni Chowk,Deboarding,12
2024-09-04,18:20:00,Nehru Place,Boarding,15
2024-09-04,18:25:00,Nehru Place,Deboarding,3
2024-09-04,18:30:00,Red Fort,Boarding,26
2024-09-04,18:35:00,India Gate,Boarding,28
